Daerah,Kecamatan,harga,kamar_tidur,luas_bangunan,luas_lahan
Ngaglik, Sleman,4.000.000.000,5,250 m²,220 m²
Ngaglik, Sleman,1.600.000.000,6,180 m²,236 m²
Prambanan, Sleman,570.000.000,3,81 m²,200 m²
Banguntapan, Bantul,565.000.000,3,70 m²,107 m²
Sleman,,440.000.000,2,45 m²,79 m²
Yogyakarta,,1.200.000.000,3,120 m²,130 m²
Ngaglik, Sleman,1.750.000.000,3,223 m²,162 m²
Ngaglik, Sleman,1.900.000.000,4,200 m²,120 m²
Umbulharjo, Yogyakarta,1.650.000.000,5,170 m²,147 m²
Condong Catur, Sleman,2.710.000.000,3,95 m²,144 m²
Ngaglik, Sleman,9.500.000.000,20,1000 m²,532 m²
Sleman,,560.000.000,2,55 m²,105 m²
Ngaglik, Sleman,1.700.000.000,3,110 m²,120 m²
Ngaglik, Sleman,1.525.000.000,3,120 m²,106 m²
Mlati, Sleman,5.900.000.000,14,505 m²,707 m²
Depok, Sleman,360.000.000,2,65 m²,60 m²
Banguntapan, Bantul,550.000.000,2,45 m²,100 m²
Prambanan, Sleman,975.000.000,4,145 m²,436 m²
Kasihan, Bantul,12.000.000.000,5,1400 m²,1800 m²
Gamping, Sleman,1.450.000.000,3,115 m²,135 m²
Banguntapan, Bantul,1.300.000.000,3,65 m²,137 m²
Sleman,,813.518.344,2,55 m²,122 m²
Gamping, Sleman,1.650.000.000,4,125 m²,155 m²
Mlati, Sleman,1.200.000.000,3,150 m²,110 m²
Kalasan, Sleman,675.000.000,2,85 m²,100 m²
Ngaglik, Sleman,745.000.000,3,72 m²,125 m²
Ngaglik, Sleman,1.850.000.000,5,185 m²,140 m²
Ngaglik, Sleman,1.350.000.000,3,119 m²,114 m²
Mlati, Sleman,1.500.000.000,3,120 m²,100 m²
Depok, Sleman,3.500.000.000,5,350 m²,250 m²
Depok, Sleman,1.750.000.000,4,120 m²,117 m²
Ngaglik, Sleman,1.500.000.000,4,180 m²,197 m²
Ngaglik, Sleman,594.000.000,2,50 m²,123 m²
Gamping, Sleman,600.000.000,4,150 m²,124 m²
Ngemplak, Sleman,575.000.000,3,55 m²,96 m²
Ngemplak, Sleman,685.000.000,3,65 m²,100 m²
Banguntapan, Bantul,1.500.000.000,3,108 m²,110 m²
Prambanan, Sleman,475.000.000,2,90 m²,95 m²
Banguntapan, Bantul,380.000.000,2,40 m²,60 m²
Sleman, Sleman,500.000.000,2,34 m²,90 m²
Gamping, Sleman,617.000.000,2,45 m²,104 m²
Tegalrejo, Yogyakarta,843.219.300,3,80 m²,99 m²
Depok, Sleman,6.000.000.000,5,417 m²,480 m²
Kalasan, Sleman,1.500.000.000,3,130 m²,133 m²
Caturtunggal, Sleman,2.100.000.000,5,170 m²,111 m²
Sleman,,550.000.000,2,36 m²,90 m²
Caturtunggal, Sleman,7.000.000.000,6,421 m²,320 m²
Pakem, Sleman,460.000.000,2,45 m²,75 m²
Bantul,,414.000.000,2,40 m²,85 m²
Sedayu, Bantul,409.000.000,2,36 m²,83 m²
Sleman,,425.000.000,2,55 m²,75 m²
Sedayu, Bantul,394.000.000,2,40 m²,86 m²
Purwo martani, Sleman,735.000.000,3,70 m²,147 m²
Condong Catur, Sleman,1.850.000.000,4,150 m²,126 m²
Condong Catur, Sleman,2.300.000.000,15,227 m²,155 m²
Condong Catur, Sleman,1.300.000.000,4,110 m²,110 m²
Condong Catur, Sleman,3.500.000.000,8,380 m²,300 m²
Mlati, Sleman,1.799.900.000,4,150 m²,129 m²
Ngaglik, Sleman,685.000.000,3,90 m²,115 m²
Sewon, Bantul,5.000.000.000,12,500 m²,1839 m²
Sleman,,295.000.000,2,40 m²,101 m²
Sleman, Sleman,350.000.000,2,40 m²,80 m²
Umbulharjo, Yogyakarta,6.500.000.000,8,413 m²,628 m²
Sedayu, Bantul,390.000.000,2,36 m²,75 m²
Condong Catur, Sleman,1.200.000.000,3,130 m²,101 m²
Yogyakarta,,5.600.000.000,7,360 m²,235 m²
Sleman, Sleman,662.000.000,3,50 m²,107 m²
Yogyakarta,,595.000.000,3,72 m²,101 m²
Sleman,,295.000.000,2,40 m²,101 m²
Kasihan, Bantul,250.000.000,2,36 m²,70 m²
Ngaglik, Sleman,1.350.000.000,3,120 m²,130 m²
Maguwoharjo, Sleman,1.550.000.000,4,165 m²,134 m²
Sleman,,700.000.111,2,50 m²,120 m²
Gamping, Sleman,480.000.000,2,85 m²,98 m²
Gamping, Sleman,675.000.000,2,70 m²,136 m²
Sleman,,2.500.000.000,4,250 m²,420 m²
Banguntapan, Bantul,550.000.000,2,45 m²,70 m²
Sleman, Sleman,725.000.000,3,90 m²,120 m²
Banguntapan, Bantul,550.000.000,3,65 m²,101 m²
Sedayu, Bantul,414.000.000,2,40 m²,85 m²
Mlati, Sleman,498.250.000,2,45 m²,91 m²
Mlati, Sleman,2.000.000.000,3,110 m²,131 m²
Mlati, Sleman,4.750.000.000,4,250 m²,210 m²
Mlati, Sleman,1.300.000.000,3,110 m²,140 m²
Sewon, Bantul,2.700.000.000,4,158 m²,200 m²
Banguntapan, Bantul,850.000.000,3,70 m²,117 m²
Banguntapan, Bantul,625.000.000,2,110 m²,68 m²
Sleman, Sleman,582.000.000,2,50 m²,119 m²
Sleman, Sleman,1.699.000.000,4,290 m²,135 m²
Ngaglik, Sleman,750.000.000,2,65 m²,100 m²
Depok, Sleman,1.500.000.000,4,130 m²,142 m²
Banguntapan, Bantul,749.000.000,2,54 m²,119 m²
Condong Catur, Sleman,2.500.000.000,3,250 m²,195 m²
Kasihan, Bantul,485.000.000,2,45 m²,97 m²
Depok, Sleman,10.000.000.000,3,300 m²,911 m²
Sedayu, Bantul,350.000.000,2,40 m²,101 m²
Sedayu, Bantul,385.000.000,2,45 m²,64 m²
Umbulharjo, Yogyakarta,3.300.000.000,5,190 m²,209 m²
Mlati, Sleman,790.000.000,3,130 m²,155 m²
Mlati, Sleman,1.800.000.000,3,90 m²,138 m²
Ngaglik, Sleman,1.500.000.000,2,120 m²,213 m²
Ngaglik, Sleman,1.900.000.000,4,150 m²,136 m²
Ngaglik, Sleman,1.900.000.000,11,250 m²,162 m²
Ngaglik, Sleman,850.000.000,3,80 m²,100 m²
Banguntapan, Bantul,1.250.000.000,3,95 m²,105 m²
Ngaglik, Sleman,900.000.000,4,85 m²,131 m²
Condong Catur, Sleman,1.400.000.000,4,125 m²,144 m²
Kasihan, Bantul,1.300.000.000,4,85 m²,110 m²
Kasihan, Bantul,435.000.000,2,45 m²,87 m²
Kalasan, Sleman,5.500.000.000,6,340 m²,376 m²
Mlati, Sleman,480.000.000,2,54 m²,137 m²
Kalasan, Sleman,465.000.000,2,45 m²,94 m²
Ngaglik, Sleman,2.000.000.000,4,139 m²,141 m²
Ngaglik, Sleman,2.500.000.000,4,250 m²,350 m²
Yogyakarta,,699.000.000,3,60 m²,144 m²
Maguwoharjo, Sleman,1.200.000.000,2,100 m²,165 m²
Ngaglik, Sleman,7.000.000.000,6,600 m²,845 m²
Umbulharjo, Yogyakarta,1.870.000.000,4,250 m²,150 m²
Ngaglik, Sleman,800.000.000,3,85 m²,149 m²
Depok, Sleman,360.000.000,2,52 m²,60 m²
Condong Catur, Sleman,1.125.000.000,3,60 m²,132 m²
Maguwoharjo, Sleman,800.000.000,3,80 m²,135 m²
Depok, Sleman,3.000.000.000,4,150 m²,146 m²
Godean, Sleman,850.000.000,4,100 m²,106 m²
Sedayu, Bantul,308.000.000,2,36 m²,90 m²
Kalasan, Sleman,850.000.000,3,90 m²,227 m²
Ngaglik, Sleman,850.000.000,3,120 m²,160 m²
Banguntapan, Bantul,2.700.000.000,4,115 m²,120 m²
Depok, Sleman,1.400.000.000,7,250 m²,158 m²
Ngaglik, Sleman,3.300.000.000,4,250 m²,270 m²
Sleman, Sleman,650.000.000,3,60 m²,98 m²
Bantul,,1.600.000.000,3,119 m²,131 m²
Kasihan, Bantul,489.000.000,2,45 m²,103 m²
Mlati, Sleman,1.400.000.000,3,220 m²,232 m²
Ngaglik, Sleman,1.100.000.000,3,120 m²,211 m²
Kalasan, Sleman,1.800.000.000,7,189 m²,227 m²
Seyegan, Sleman,923.000.000,3,80 m²,89 m²
Caturtunggal, Sleman,4.000.000.000,4,376 m²,201 m²
Caturtunggal, Sleman,6.750.000.000,6,300 m²,470 m²
Sleman,,950.000.000,3,204 m²,70 m²
Mlati, Sleman,625.000.000,2,50 m²,101 m²
Kalasan, Sleman,535.000.000,2,54 m²,94 m²
Sleman,,1.490.000.000,3,130 m²,134 m²
Depok, Sleman,1.500.000.000,4,240 m²,170 m²
Depok, Sleman,1.700.000.000,5,182 m²,147 m²
Condong Catur, Sleman,1.600.000.000,4,86 m²,177 m²
Condong Catur, Sleman,1.600.000.000,5,260 m²,128 m²
Depok, Sleman,1.600.000.000,5,150 m²,126 m²
Condong Catur, Sleman,2.650.000.000,6,223 m²,349 m²
Caturtunggal, Sleman,2.100.000.000,3,140 m²,130 m²
Depok, Sleman,1.450.000.000,14,150 m²,201 m²
Condong Catur, Sleman,1.600.000.000,5,200 m²,215 m²
Kalasan, Sleman,580.000.000,3,65 m²,130 m²
Godean, Sleman,875.000.000,3,90 m²,128 m²
Condong Catur, Sleman,5.250.000.000,3,200 m²,696 m²
Gamping, Sleman,1.350.000.000,4,160 m²,137 m²
Sleman,,535.000.000,2,45 m²,93 m²
Depok, Sleman,2.150.000.000,3,165 m²,135 m²
Ngaglik, Sleman,2.100.000.000,5,315 m²,265 m²
Kasihan, Bantul,3.900.000.000,6,300 m²,1052 m²
Banguntapan, Bantul,1.050.000.000,4,90 m²,171 m²
Banguntapan, Bantul,725.000.000,4,120 m²,142 m²
Depok, Sleman,1.000.000.000,3,90 m²,110 m²
Caturtunggal, Sleman,1.200.000.000,3,90 m²,110 m²
Gamping, Sleman,795.000.000,3,105 m²,115 m²
Sleman,,750.000.000,3,74 m²,123 m²
Umbulharjo, Yogyakarta,1.300.000.000,3,135 m²,112 m²
Banguntapan, Bantul,775.000.000,3,120 m²,114 m²
Banguntapan, Bantul,12.000.000.000,19,500 m²,1200 m²
Bantul,,585.000.000,3,60 m²,82 m²
Depok, Sleman,11.000.000.000,8,800 m²,925 m²
Sleman, Sleman,1.300.000.000,3,100 m²,138 m²
Condong Catur, Sleman,2.000.000.000,12,150 m²,150 m²
Sewon, Bantul,450.000.000,2,45 m²,90 m²
Sleman,,8.900.000.000,5,330 m²,810 m²
Ngaglik, Sleman,1.500.000.000,3,100 m²,130 m²
Bantul,,456.000.000,2,36 m²,71 m²
Depok, Sleman,1.650.000.000,3,120 m²,110 m²
Depok, Sleman,10.000.000.000,3,300 m²,911 m²
Depok, Sleman,1.500.000.000,4,120 m²,120 m²
Depok, Sleman,2.300.000.000,2,200 m²,318 m²
Kasihan, Bantul,349.000.000,2,36 m²,73 m²
Kasihan, Bantul,350.000.000,2,72 m²,72 m²
Sedayu, Bantul,337.000.000,2,40 m²,70 m²
Ngaglik, Sleman,1.200.000.000,3,120 m²,250 m²
Banguntapan, Bantul,1.350.000.000,3,200 m²,441 m²
Mlati, Sleman,325.000.000,2,36 m²,51 m²
Mlati, Sleman,1.800.000.000,3,190 m²,113 m²
Ngaglik, Sleman,715.000.000,3,80 m²,115 m²
Kasihan, Bantul,449.000.000,2,45 m²,93 m²
Sleman, Sleman,795.000.000,2,55 m²,128 m²
Umbulharjo, Yogyakarta,1.450.000.000,3,125 m²,100 m²
Mlati, Sleman,325.000.000,2,36 m²,51 m²
Godean, Sleman,875.000.000,3,80 m²,129 m²
Maguwoharjo, Sleman,5.250.000.000,5,539 m²,360 m²
Tegalrejo, Yogyakarta,1.750.000.000,4,100 m²,176 m²
Condong Catur, Sleman,2.300.000.000,3,220 m²,170 m²
Mlati, Sleman,1.000.000.000,2,70 m²,137 m²
Banguntapan, Bantul,12.000.000.000,19,500 m²,1200 m²
Banguntapan, Bantul,775.000.000,3,120 m²,114 m²
Ngaglik, Sleman,570.000.000,3,56 m²,100 m²
Sleman, Sleman,995.000.000,3,85 m²,144 m²
Ngemplak, Sleman,845.000.000,3,100 m²,138 m²
Maguwoharjo, Sleman,850.000.000,3,110 m²,140 m²
Maguwoharjo, Sleman,3.700.000.000,4,147 m²,168 m²
Maguwoharjo, Sleman,4.200.000.000,4,210 m²,160 m²
Kasihan, Bantul,425.000.000,2,58 m²,100 m²
Depok, Sleman,1.650.000.000,3,120 m²,110 m²
Depok, Sleman,10.000.000.000,3,300 m²,911 m²
Depok, Sleman,2.300.000.000,2,200 m²,318 m²
Depok, Sleman,1.500.000.000,4,120 m²,120 m²
Depok, Sleman,1.950.000.000,4,100 m²,120 m²
Condong Catur, Sleman,2.500.000.000,4,150 m²,190 m²
Kasihan, Bantul,1.900.000.000,4,169 m²,169 m²
Mlati, Sleman,1.800.000.000,3,190 m²,113 m²
Kraton, Yogyakarta,850.000.000,3,90 m²,120 m²
Prambanan, Sleman,872.000.000,3,140 m²,290 m²
Yogyakarta,,1.650.000.000,4,135 m²,165 m²
Yogyakarta,,1.650.000.000,4,135 m²,165 m²
Sleman, Sleman,625.000.000,3,80 m²,119 m²
Sleman, Sleman,647.000.000,2,50 m²,105 m²
Turi, Sleman,350.000.000,4,,91 m²
Depok, Sleman,1.900.000.000,3,160 m²,128 m²
Ngaglik, Sleman,450.000.000,2,45 m²,125 m²
Condong Catur, Sleman,3.500.000.000,5,250 m²,305 m²
Sleman,,1.200.000.000,3,100 m²,257 m²
Kasihan, Bantul,500.000.000,2,80 m²,90 m²
Caturtunggal, Sleman,2.500.000.000,5,200 m²,256 m²
Caturtunggal, Sleman,5.500.000.000,3,298 m²,237 m²
Seyegan, Sleman,12.000.000.000,13,800 m²,1200 m²
Condong Catur, Sleman,1.600.000.000,3,175 m²,106 m²
Caturtunggal, Sleman,1.599.900.000,3,148 m²,100 m²
Ngaglik, Sleman,1.850.000.000,5,179 m²,285 m²
Yogyakarta,,835.000.000,3,100 m²,134 m²
Mlati, Sleman,1.000.000.000,3,150 m²,113 m²
Ngaglik, Sleman,1.400.000.000,4,120 m²,125 m²
Ngaglik, Sleman,965.000.000,3,100 m²,155 m²
Ngaglik, Sleman,3.500.000.000,6,350 m²,561 m²
Ngaglik, Sleman,725.000.000,3,85 m²,115 m²
Sleman, Sleman,8.000.000.000,5,326 m²,401 m²
Mlati, Sleman,495.000.000,2,51 m²,113 m²
Umbulharjo, Yogyakarta,1.050.000.000,4,116 m²,87 m²
Yogyakarta,,1.280.000.000,4,100 m²,80 m²
Maguwoharjo, Sleman,1.650.000.000,3,120 m²,126 m²
Kalasan, Sleman,4.500.000.000,4,231 m²,180 m²
Kasihan, Bantul,415.000.000,2,50 m²,101 m²
Condong Catur, Sleman,825.000.000,4,110 m²,117 m²
Sleman,,415.000.000,2,36 m²,100 m²
Sedayu, Bantul,355.359.500,2,36 m²,79 m²
Turi, Sleman,350.000.000,4,,91 m²
Depok, Sleman,1.900.000.000,4,253 m²,176 m²
Bantul,,1.100.000.000,4,110 m²,150 m²
Depok, Sleman,1.800.000.000,3,120 m²,279 m²
Ngaglik, Sleman,520.000.000,2,45 m²,111 m²
Banguntapan, Bantul,980.000.000,3,80 m²,210 m²
Sewon, Bantul,450.000.000,2,79 m²,79 m²
Gamping, Sleman,450.000.000,2,58 m²,70 m²
Depok, Sleman,930.000.000,2,55 m²,114 m²
Ngaglik, Sleman,2.200.000.000,4,220 m²,179 m²
Gamping, Sleman,1.250.000.000,3,100 m²,178 m²
Gamping, Sleman,3.175.000.000,5,187 m²,187 m²
Ngaglik, Sleman,1.700.000.000,3,80 m²,204 m²
Banguntapan, Bantul,950.000.000,3,70 m²,100 m²
Banguntapan, Bantul,800.000.000,3,100 m²,115 m²
Maguwoharjo, Sleman,1.000.000.000,2,55 m²,115 m²
Sleman, Sleman,750.000.000,3,80 m²,105 m²
Depok, Sleman,3.500.000.000,7,350 m²,228 m²
Ngaglik, Sleman,3.500.000.000,5,250 m²,242 m²
Condong Catur, Sleman,1.600.000.000,5,150 m²,179 m²
Umbulharjo, Yogyakarta,1.325.000.000,4,200 m²,107 m²
Ngaglik, Sleman,12.500.000.000,4,877 m²,2567 m²
Ngemplak, Sleman,720.000.000,3,150 m²,150 m²
Mlati, Sleman,1.200.000.000,4,149 m²,100 m²
Banguntapan, Bantul,365.000.000,2,45 m²,88 m²
Ngaglik, Sleman,2.200.000.000,5,265 m²,350 m²
Yogyakarta,,800.000.000,3,160 m²,95 m²
Ngaglik, Sleman,1.288.409.000,3,85 m²,156 m²
Sleman, Sleman,775.000.000,3,70 m²,262 m²
Sleman, Sleman,1.700.000.000,3,200 m²,238 m²
Godean, Sleman,850.000.000,4,100 m²,106 m²
Mlati, Sleman,4.500.000.000,3,278 m²,252 m²
Yogyakarta,,1.800.000.000,4,112 m²,128 m²
Godean, Sleman,875.000.000,3,90 m²,128 m²
Sewon, Bantul,550.000.000,2,45 m²,87 m²
Kalasan, Sleman,625.000.000,3,65 m²,101 m²
Banguntapan, Bantul,2.100.000.000,4,180 m²,130 m²
Ngaglik, Sleman,1.500.000.000,10,180 m²,160 m²
Mlati, Sleman,645.000.000,3,70 m²,100 m²
Sleman, Sleman,637.000.000,3,70 m²,135 m²
Godean, Sleman,775.000.000,2,50 m²,108 m²
Ngaglik, Sleman,675.000.000,3,85 m²,120 m²
Sleman, Sleman,790.000.000,3,156 m²,123 m²
Ngemplak, Sleman,359.000.000,2,42 m²,119 m²
Ngaglik, Sleman,690.000.000,3,75 m²,129 m²
Kalasan, Sleman,488.000.000,2,44 m²,108 m²
Depok, Sleman,1.375.000.000,3,116 m²,101 m²
Seyegan, Sleman,475.000.000,2,86 m²,162 m²
Ngemplak, Sleman,425.000.000,2,54 m²,107 m²
Sedayu, Bantul,699.000.000,2,50 m²,105 m²
Kalasan, Sleman,2.500.000.000,4,200 m²,315 m²
Sleman,,5.500.000.000,4,225 m²,200 m²
Kasihan, Bantul,545.000.000,2,50 m²,98 m²
Banguntapan, Bantul,390.000.000,2,50 m²,75 m²
Tempel, Sleman,1.400.000.000,4,400 m²,1429 m²
Kasihan, Bantul,575.000.000,2,50 m²,100 m²
Umbulharjo, Yogyakarta,1.825.000.000,4,125 m²,120 m²
Kalasan, Sleman,815.000.000,2,50 m²,84 m²
Depok, Sleman,2.000.000.000,4,150 m²,190 m²
Caturtunggal, Sleman,1.680.000.000,4,117 m²,104 m²
Yogyakarta,,800.000.000,3,90 m²,151 m²
Umbulharjo, Yogyakarta,1.100.000.000,7,155 m²,165 m²
Depok, Sleman,785.000.000,2,60 m²,115 m²
Tegalrejo, Yogyakarta,1.500.000.000,3,100 m²,193 m²
Jetis, Yogyakarta,7.000.000.000,6,400 m²,1040 m²
Sedayu, Bantul,430.000.000,3,49 m²,80 m²
Depok, Sleman,1.100.000.000,4,200 m²,195 m²
Umbulharjo, Yogyakarta,875.000.000,3,65 m²,92 m²
Kalasan, Sleman,794.582.000,2,45 m²,113 m²
Bantul, Bantul,270.000.000,2,55 m²,55 m²
Bantul,,950.000.000,4,150 m²,214 m²
Ngaglik, Sleman,1.300.000.000,4,124 m²,108 m²
Condong Catur, Sleman,2.750.000.000,4,95 m²,144 m²
Sleman, Sleman,295.000.000,2,80 m²,98 m²
Sleman,,625.000.000,3,65 m²,114 m²
Yogyakarta,,1.800.000.000,5,150 m²,279 m²
Yogyakarta,,988.000.000,3,84 m²,120 m²
Mlati, Sleman,1.600.000.000,3,100 m²,135 m²
Kalasan, Sleman,1.350.000.000,5,175 m²,118 m²
Sleman, Sleman,3.000.000.000,7,500 m²,550 m²
Depok, Sleman,925.000.000,3,110 m²,103 m²
Sewon, Bantul,755.000.000,3,100 m²,138 m²
Maguwoharjo, Sleman,960.000.000,3,75 m²,210 m²
Bantul,,775.000.000,3,60 m²,104 m²
Bantul,,680.000.000,2,70 m²,112 m²
Gamping, Sleman,1.900.000.000,3,170 m²,135 m²
Depok, Sleman,2.300.000.000,10,219 m²,167 m²
Gamping, Sleman,1.788.000.000,3,135 m²,115 m²
Kasihan, Bantul,574.000.000,2,50 m²,105 m²
Ngaglik, Sleman,850.000.000,3,70 m²,173 m²
Sewon, Bantul,2.284.000.000,3,115 m²,107 m²
Depok, Sleman,4.950.000.000,4,355 m²,361 m²
Banguntapan, Bantul,1.800.000.000,4,164 m²,104 m²
Sewon, Bantul,900.000.000,3,82 m²,148 m²
Sleman, Sleman,805.000.000,3,65 m²,107 m²
Kasihan, Bantul,2.150.000.000,3,130 m²,120 m²
Maguwoharjo, Sleman,960.000.000,3,75 m²,210 m²
Prambanan, Sleman,270.000.000,2,30 m²,60 m²
Ngaglik, Sleman,630.000.000,2,45 m²,106 m²
Ngaglik, Sleman,4.500.000.000,3,250 m²,780 m²
Godean, Sleman,875.000.000,3,100 m²,230 m²
Depok, Sleman,1.790.000.000,4,132 m²,123 m²
Depok, Sleman,900.000.000,3,56 m²,98 m²
Depok, Sleman,2.300.000.000,10,219 m²,167 m²
Gamping, Sleman,1.788.000.000,3,135 m²,115 m²
Gamping, Sleman,1.900.000.000,3,170 m²,135 m²
Kasihan, Bantul,470.000.000,2,45 m²,92 m²
Caturtunggal, Sleman,1.500.000.000,2,90 m²,136 m²
Ngaglik, Sleman,1.200.000.000,2,83 m²,198 m²
Banguntapan, Bantul,2.500.000.000,5,250 m²,300 m²
Ngaglik, Sleman,575.000.000,2,55 m²,105 m²
Banguntapan, Bantul,560.000.000,2,40 m²,85 m²
Depok, Sleman,2.475.000.000,4,150 m²,158 m²
Mantrijeron, Yogyakarta,2.499.000.000,15,258 m²,608 m²
Bantul,,336.600.000,3,45 m²,87 m²
Banguntapan, Bantul,1.024.000.000,3,72 m²,95 m²
Yogyakarta,,785.000.000,3,120 m²,72 m²
Banguntapan, Bantul,1.800.000.000,4,165 m²,166 m²
Prambanan, Sleman,570.000.000,3,81 m²,200 m²
Gamping, Sleman,12.000.000.000,5,1400 m²,1795 m²
Bantul,,3.500.000.000,5,562 m²,851 m²
Prambanan, Sleman,570.000.000,3,81 m²,200 m²
Bantul,,336.600.000,3,45 m²,87 m²
Depok, Sleman,2.475.000.000,4,150 m²,158 m²
Mantrijeron, Yogyakarta,2.499.000.000,15,258 m²,608 m²
Banguntapan, Bantul,550.000.000,2,45 m²,87 m²
Kasihan, Bantul,3.750.000.000,6,300 m²,1052 m²
Ngaglik, Sleman,1.200.000.000,2,83 m²,198 m²
Banguntapan, Bantul,2.500.000.000,5,250 m²,300 m²
Godean, Sleman,1.000.000.000,3,100 m²,150 m²
Godean, Sleman,1.650.000.000,5,180 m²,146 m²
Ngaglik, Sleman,575.000.000,2,55 m²,105 m²
Banguntapan, Bantul,560.000.000,2,40 m²,85 m²
Godean, Sleman,1.200.000.000,4,110 m²,158 m²
Gamping, Sleman,950.000.000,2,109 m²,109 m²
Ngaglik, Sleman,2.200.000.000,3,100 m²,160 m²
Yogyakarta,,785.000.000,3,120 m²,72 m²
Ngaglik, Sleman,3.500.000.000,5,400 m²,251 m²
Gamping, Sleman,950.000.000,3,100 m²,150 m²
Mlati, Sleman,10.000.000.000,4,399 m²,529 m²
Sleman, Sleman,900.000.000,4,85 m²,131 m²
Sedayu, Bantul,606.000.000,3,75 m²,67 m²
Depok, Sleman,4.600.000.000,4,250 m²,425 m²
Pakem, Sleman,665.000.000,3,90 m²,115 m²
Caturtunggal, Sleman,2.399.999.999,4,200 m²,182 m²
Mantrijeron, Yogyakarta,3.400.000.000,4,350 m²,475 m²
Prambanan, Sleman,930.000.000,3,100 m²,118 m²
Ngaglik, Sleman,3.000.000.000,4,150 m²,384 m²
Sewon, Bantul,950.000.000,3,85 m²,120 m²
Bantul, Bantul,369.000.000,2,45 m²,86 m²
Maguwoharjo, Sleman,790.000.000,3,55 m²,104 m²
Kraton, Yogyakarta,3.500.000.000,3,425 m²,472 m²
Maguwoharjo, Sleman,1.600.000.000,3,175 m²,106 m²
Maguwoharjo, Sleman,780.000.000,3,83 m²,124 m²
Depok, Sleman,1.650.000.000,4,195 m²,133 m²
Umbulharjo, Yogyakarta,1.820.000.000,4,125 m²,120 m²
Banguntapan, Bantul,800.000.000,3,80 m²,118 m²
Condong Catur, Sleman,2.650.000.000,5,220 m²,144 m²
Condong Catur, Sleman,1.750.000.000,11,244 m²,159 m²
Kalasan, Sleman,850.000.000,1,85 m²,99 m²
Kalasan, Sleman,550.000.000,2,1 m²,70 m²
Sewon, Bantul,320.000.000,3,112 m²,126 m²
Tegalrejo, Yogyakarta,4.567.000.000,6,486 m²,500 m²
Condong Catur, Sleman,1.800.000.000,3,188 m²,138 m²
Kalasan, Sleman,749.535.000,2,45 m²,98 m²
Condong Catur, Sleman,1.700.000.000,2,124 m²,144 m²
Maguwoharjo, Sleman,1.599.000.000,4,110 m²,124 m²
Gamping, Sleman,2.500.000.000,6,200 m²,168 m²
Ngaglik, Sleman,1.300.000.000,3,200 m²,110 m²
Sewon, Bantul,900.000.000,3,110 m²,125 m²
Sleman,,750.000.000,3,60 m²,105 m²
Maguwoharjo, Sleman,885.000.000,3,82 m²,120 m²
Ngaglik, Sleman,4.800.000.000,8,170 m²,315 m²
Umbulharjo, Yogyakarta,1.875.000.000,5,170 m²,150 m²
Sleman,,2.500.000.000,5,350 m²,236 m²
Banguntapan, Bantul,1.250.000.000,3,100 m²,105 m²
Banguntapan, Bantul,985.000.000,3,150 m²,95 m²
Gamping, Sleman,1.500.000.000,3,95 m²,125 m²
Kasihan, Bantul,900.000.000,3,80 m²,113 m²
Mlati, Sleman,350.000.000,2,36 m²,51 m²
Gamping, Sleman,1.199.999.999,3,100 m²,178 m²
Depok, Sleman,975.000.000,5,140 m²,135 m²
Banguntapan, Bantul,850.000.000,2,50 m²,100 m²
Kasihan, Bantul,600.000.000,2,50 m²,110 m²
Bantul,,317.000.000,2,45 m²,82 m²
Kasihan, Bantul,650.000.000,2,50 m²,150 m²
Depok, Sleman,635.000.000,2,65 m²,102 m²
Banguntapan, Bantul,2.000.000.000,5,250 m²,688 m²
Ngaglik, Sleman,1.900.000.000,4,120 m²,200 m²
Kasihan, Bantul,750.000.000,2,60 m²,115 m²
Sleman,,475.000.000,2,85 m²,100 m²
Mlati, Sleman,1.950.000.000,4,150 m²,154 m²
Ngaglik, Sleman,2.100.000.000,4,142 m²,125 m²
Depok, Sleman,4.500.000.000,4,350 m²,720 m²
Ngaglik, Sleman,850.000.000,3,90 m²,120 m²
Ngaglik, Sleman,1.400.000.000,3,85 m²,150 m²
Gamping, Sleman,1.600.000.000,6,201 m²,165 m²
Ngaglik, Sleman,1.150.000.000,3,100 m²,126 m²
Kalasan, Sleman,1.400.000.000,3,125 m²,123 m²
Gamping, Sleman,1.950.000.000,3,125 m²,154 m²
Gamping, Sleman,1.500.000.000,3,86 m²,128 m²
Depok, Sleman,1.650.000.000,9,150 m²,125 m²
Ngaglik, Sleman,4.250.000.000,4,250 m²,780 m²
Sleman,,5.500.000.000,4,320 m²,275 m²
Ngaglik, Sleman,1.662.040.000,3,100 m²,297 m²
Depok, Sleman,1.850.000.000,5,170 m²,140 m²
Depok, Sleman,6.500.000.000,6,350 m²,491 m²
Depok, Sleman,1.500.000.000,4,110 m²,140 m²
Ngaglik, Sleman,1.800.000.000,10,200 m²,162 m²
Mlati, Sleman,1.950.000.000,4,150 m²,154 m²
Ngaglik, Sleman,1.662.040.000,3,100 m²,297 m²
Sewon, Bantul,650.000.000,2,52 m²,98 m²
Ngaglik, Sleman,1.400.000.000,3,85 m²,150 m²
Ngaglik, Sleman,850.000.000,3,90 m²,120 m²
Kalasan, Sleman,1.400.000.000,3,125 m²,123 m²
Ngaglik, Sleman,1.150.000.000,3,100 m²,126 m²
Depok, Sleman,1.850.000.000,5,170 m²,140 m²
